Title,Note,URL,Comment
Hammer Hardware Picton,,https://www.google.com/maps/place/Hammer+Hardware+Picton/data=!4m2!3m1!1s0x6d3939fcc82b2d3b:0x65d06c4fc77000c2,
Black Rock Shelter & Campsite,,https://www.google.com/maps/place/Black+Rock+Shelter+%26+Campsite/data=!4m2!3m1!1s0x6d39322e612d1b13:0x20a1e266ffd524e2,
The Villa,,https://www.google.com/maps/place/The+Villa/data=!4m2!3m1!1s0x6d3939e3515aa3e3:0xe4a46d001d8a1c41,
17 Adelaide Road,,https://www.google.com/maps/place/17+Adelaide+Road/data=!4m2!3m1!1s0x6d38afddeafc5827:0xcac95c5bee7b400e,
Motueka,,https://www.google.com/maps/place/Motueka/data=!4m2!3m1!1s0x6d3b81309f5a66d9:0x500ef8684798ff0,
Takaka Hill,,https://www.google.com/maps/place/Takaka+Hill/data=!4m2!3m1!1s0x6d3c7e109bb32911:0x500ef868479d240,
Fortune Favours Beer,,https://www.google.com/maps/place/Fortune+Favours+Beer/data=!4m2!3m1!1s0x6d38afd9d8f700db:0x37322703d879848a,
Boyle Campsite,,https://www.google.com/maps/place/Boyle+Campsite/data=!4m2!3m1!1s0x6d301a0a4f3cecbd:0xedfac8f3c940303f,
Boyle River Outdoor Education Centre,,https://www.google.com/maps/place/Boyle+River+Outdoor+Education+Centre/data=!4m2!3m1!1s0x6d301a0bbf4f6e91:0xe3735fba06bac361,
Camp Bay Campsite,,https://www.google.com/maps/place/Camp+Bay+Campsite/data=!4m2!3m1!1s0x6d3ed38d0e52d9e1:0x3b8c4958d2ee797e,
The Marion Hostel,,https://www.google.com/maps/place/The+Marion+Hostel/data=!4m2!3m1!1s0x6d38af6b38add02f:0x1806b5da7ac6e934,
Waitewaewae Hut,,https://www.google.com/maps/place/Waitewaewae+Hut/data=!4m2!3m1!1s0x6d40eb72b7009dff:0xc3cd1facbab61412,
Nichols Hut,,https://www.google.com/maps/place/Nichols+Hut/data=!4m2!3m1!1s0x6d3b95fc44a785e1:0xc746caaa436fc00b,
Te Matawai Hut,,https://www.google.com/maps/place/Te+Matawai+Hut/data=!4m2!3m1!1s0x6d40ef72470b9c23:0xd40b786e43d56bbd,
Camp Elsdon,,https://www.google.com/maps/place/Camp+Elsdon/data=!4m2!3m1!1s0x6d3f5311ad29f56b:0xd6469b4d8e36849,
76 Queenwood Road,,https://www.google.com/maps/place/76+Queenwood+Road/data=!4m2!3m1!1s0x6d40f49e785e7139:0x3b2375bcecc5f10e,
57 Collingwood Street,,https://www.google.com/maps/place/57+Collingwood+Street/data=!4m2!3m1!1s0x6d41b2945e08de29:0xa9ade19bb8edc33c,
Pouakai Hut,,https://www.google.com/maps/place/Pouakai+Hut/data=!4m2!3m1!1s0x6d15b3ea05b2088d:0x76eea41cb8d9d333,
Shining Peak Brewing,,https://www.google.com/maps/place/Shining+Peak+Brewing/data=!4m2!3m1!1s0x6d144f9d30c6763d:0x6ba7f0d19c424e4b,
Ducks & Drakes Boutique Motel and Backpackers,,https://www.google.com/maps/place/Ducks+%26+Drakes+Boutique+Motel+and+Backpackers/data=!4m2!3m1!1s0x6d144e387cc49527:0x394e1f9c70870413,
Taranaki / Egmont National Park Visitor Centre,,https://www.google.com/maps/place/Taranaki+%2F+Egmont+National+Park+Visitor+Centre/data=!4m2!3m1!1s0x6d14532a743cc365:0x23ff1ead8175e63e,
Waingongoro Hut,,https://www.google.com/maps/place/Waingongoro+Hut/data=!4m2!3m1!1s0x6d15afe7b8e6faaf:0x164cf0ec3bb58f18,
Holly Hut,,https://www.google.com/maps/place/Holly+Hut/data=!4m2!3m1!1s0x6d15b16e33f25d49:0x639a1aa1f882a5b6,
Maketawa Hut,,https://www.google.com/maps/place/Maketawa+Hut/data=!4m2!3m1!1s0x6d15b1d8e7258e35:0xaa03a7f5b5824c40,
Manuka,,https://www.google.com/maps/place/Manuka/data=!4m2!3m1!1s0x6d6aa60be11bbfbb:0x39c1c499281982d9,
Koitiata Motor Camp,,https://www.google.com/maps/place/Koitiata+Motor+Camp/data=!4m2!3m1!1s0x6d4010b159121f7b:0x53db30c285a3364a,
